// AR6000 Rx gain table 2GHz
// 
// 1 - Desired gain
// 2 - Lna On (rf_LNAon)
// 3 - Lna gain (rf_lnagain)
// 4 - RF VGA gain (rf_rfvgagain) 
// 5 - Mix gain (rf_mixgain) 
// 6 - bb gain (rf_bbgain) 
// 7 - bbf gain (rf_bbfgain)
90, 1, 1, 3, 1, 6, 5,
89, 1, 1, 3, 1, 6, 4,
88, 1, 1, 3, 1, 6, 3,
87, 1, 1, 3, 1, 6, 2,
86, 1, 1, 3, 1, 6, 1,
85, 1, 1, 3, 1, 6, 0,
84, 1, 1, 3, 1, 5, 5,
83, 1, 1, 3, 1, 5, 4,
82, 1, 1, 3, 1, 5, 3,
81, 1, 1, 3, 1, 5, 2,
80, 1, 1, 3, 1, 5, 1,
79, 1, 1, 3, 1, 5, 0,
78, 1, 1, 3, 1, 4, 5,
77, 1, 1, 3, 1, 4, 4,
76, 1, 1, 3, 1, 4, 3,
75, 1, 1, 3, 1, 4, 2,
74, 1, 1, 3, 1, 4, 1,
73, 1, 1, 3, 1, 4, 0,
72, 1, 1, 3, 1, 3, 5,
71, 1, 1, 3, 1, 3, 4,
70, 1, 1, 3, 1, 3, 3,
69, 1, 1, 3, 1, 3, 2,
68, 1, 1, 3, 1, 3, 1,
67, 1, 1, 3, 1, 3, 0,
66, 1, 1, 3, 1, 2, 5,
65, 1, 1, 3, 1, 2, 4,
64, 1, 1, 3, 1, 2, 3,
63, 1, 1, 3, 1, 2, 2,
62, 1, 1, 3, 1, 2, 1,
61, 1, 1, 3, 1, 2, 0,
60, 1, 1, 3, 1, 1, 5,
59, 1, 1, 3, 1, 1, 4,
58, 1, 1, 3, 1, 1, 3,
57, 1, 1, 3, 1, 1, 2,
56, 1, 1, 3, 1, 1, 1,
55, 1, 1, 3, 1, 1, 0,
54, 1, 1, 3, 1, 0, 5,
53, 1, 1, 3, 1, 0, 4,
52, 1, 1, 3, 1, 0, 3,
51, 1, 1, 3, 1, 0, 2,
50, 1, 1, 3, 1, 0, 1,
49, 1, 1, 3, 1, 0, 0,
48, 1, 1, 3, 0, 0, 5,
47, 1, 1, 3, 0, 0, 4,
46, 1, 1, 3, 0, 0, 3,
45, 1, 1, 3, 0, 0, 2,
44, 1, 1, 3, 0, 0, 1,
43, 1, 1, 3, 0, 0, 0,
42, 1, 1, 2, 1, 0, 3,
41, 1, 1, 2, 1, 0, 2,
40, 1, 1, 2, 1, 0, 1,
39, 1, 1, 2, 1, 0, 0,
38, 1, 1, 2, 0, 0, 5,
37, 1, 1, 2, 0, 0, 4,
36, 1, 1, 2, 0, 0, 3,
35, 1, 1, 2, 0, 0, 2,
34, 1, 1, 2, 0, 0, 1,
33, 1, 1, 2, 0, 0, 0,
32, 1, 1, 1, 1, 0, 3,
31, 1, 1, 1, 1, 0, 2,
30, 1, 1, 1, 1, 0, 1,
29, 1, 1, 1, 1, 0, 0,
28, 1, 1, 1, 0, 0, 5,
27, 1, 1, 1, 0, 0, 4,
26, 1, 1, 1, 0, 0, 3,
25, 1, 1, 1, 0, 0, 2,
24, 1, 1, 1, 0, 0, 1,
23, 1, 1, 1, 0, 0, 0,
22, 1, 1, 0, 1, 0, 3,
21, 1, 1, 0, 1, 0, 2,
20, 1, 1, 0, 1, 0, 1,
19, 1, 1, 0, 1, 0, 0,
18, 1, 1, 0, 0, 0, 5,
17, 1, 1, 0, 0, 0, 4,
16, 1, 1, 0, 0, 0, 3,
15, 1, 1, 0, 0, 0, 2,
14, 1, 1, 0, 0, 0, 1,
13, 1, 1, 0, 0, 0, 0,
12, 1, 0, 0, 1, 0, 3,
11, 1, 0, 0, 1, 0, 2,
10, 1, 0, 0, 1, 0, 1,
9, 1, 0, 0, 1, 0, 0,
8, 1, 0, 0, 0, 0, 5,
7, 1, 0, 0, 0, 0, 4,
6, 1, 0, 0, 0, 0, 3,
5, 1, 0, 0, 0, 0, 2,
4, 1, 0, 0, 0, 0, 1,
3, 1, 0, 0, 0, 0, 0,
2, 0, 0, 1, 1, 0, 3,
1, 0, 0, 1, 1, 0, 2,
0, 0, 0, 1, 1, 0, 0,
-1, 0, 0, 1, 0, 0, 5,
-2, 0, 0, 1, 0, 0, 4,
-3, 0, 0, 1, 0, 0, 3,
-4, 0, 0, 1, 0, 0, 2,
-5, 0, 0, 1, 0, 0, 1,
-6, 0, 0, 1, 0, 0, 0,
-7, 0, 0, 0, 1, 0, 3,
-8, 0, 0, 0, 1, 0, 2,
-9, 0, 0, 0, 1, 0, 1,
-10, 0, 0, 0, 1, 0, 0,
-11, 0, 0, 0, 0, 0, 5,
-12, 0, 0, 0, 0, 0, 4,
-13, 0, 0, 0, 0, 0, 3,
-14, 0, 0, 0, 0, 0, 2,
-15, 0, 0, 0, 0, 0, 1,
-16, 0, 0, 0, 0, 0, 0,
